cell_id,p_hotspot_next
3634.0_202.0,0.1434242
3439.0_387.0,0.14335029
3544.0_432.0,0.14322789
3614.0_197.0,0.14310049
3509.0_422.0,0.1428424
3484.0_442.0,0.14279753
3554.0_237.0,0.14268741
3549.0_432.0,0.14251974
3534.0_272.0,0.14219892
3604.0_142.0,0.14192258
3574.0_237.0,0.14186491
3584.0_442.0,0.141645
3629.0_122.0,0.14162359
3539.0_217.0,0.14157525
3614.0_172.0,0.14140975
3579.0_182.0,0.14140801
3624.0_217.0,0.14123316
3639.0_217.0,0.14097406
3654.0_237.0,0.14083616
3494.0_437.0,0.1404834
3534.0_222.0,0.14044148
3569.0_417.0,0.14038032
3604.0_252.0,0.14024286
3544.0_222.0,0.14007433
3459.0_397.0,0.13997455
3539.0_297.0,0.13958476
3639.0_222.0,0.13952455
3464.0_297.0,0.13939393
3534.0_392.0,0.1392227
3569.0_337.0,0.13893755
3609.0_152.0,0.13890924
3519.0_417.0,0.13874522
3594.0_192.0,0.13865176
3599.0_287.0,0.13864893
3544.0_227.0,0.13863485
3574.0_312.0,0.13862304
3634.0_197.0,0.13855223
3664.0_227.0,0.13849457
3524.0_282.0,0.13831083
3484.0_437.0,0.13814506
3589.0_232.0,0.13799489
3494.0_447.0,0.13775676
3574.0_327.0,0.13761634
3494.0_317.0,0.13757262
3564.0_407.0,0.13749133
3499.0_247.0,0.137396
3579.0_297.0,0.13731831
3579.0_247.0,0.13713343
3569.0_207.0,0.13700038
3449.0_332.0,0.13694441
3594.0_257.0,0.13672298
3614.0_232.0,0.13662277
3444.0_387.0,0.13646801
3569.0_222.0,0.13646084
3524.0_452.0,0.13625903
3569.0_422.0,0.1362577
3559.0_237.0,0.13622952
3554.0_372.0,0.13599661
3574.0_287.0,0.13598964
3554.0_242.0,0.13587768
3614.0_272.0,0.1358557
3554.0_217.0,0.13578576
3524.0_292.0,0.1357148
3599.0_197.0,0.13523845
3614.0_162.0,0.13523482
3469.0_307.0,0.13523184
3529.0_392.0,0.1351125
3524.0_242.0,0.13504304
3589.0_322.0,0.1348418
3564.0_192.0,0.13478857
3634.0_162.0,0.13457698
3599.0_302.0,0.13453849
3494.0_252.0,0.1344809
3574.0_262.0,0.13438106
3549.0_297.0,0.1342723
3639.0_202.0,0.13412018
3574.0_282.0,0.13407303
3504.0_382.0,0.13390385
3624.0_242.0,0.1338329
3629.0_182.0,0.13375196
3479.0_277.0,0.13326581
3444.0_372.0,0.13292518
3614.0_267.0,0.13288817
3524.0_442.0,0.13257508
3499.0_407.0,0.13253795
